STUDENT_ID,FALL_COHORT,COHORT_TYPE,GENDER,N__IPEDS_ETHNICITY,ENROLLMENT_STATUS,EXCLUSION_ELIGIBLE,ENROLLED_FALL_2020
ID000120,2019,N/A,F,WHITE,F,N,Y
ID000121,2019,N/A,F,WHITE,F,N,Y
ID000122,2019,N/A,M,WHITE,F,N,Y
ID000123,2019,N/A,M,HISPA,F,N,Y
ID000124,2019,N/A,M,HISPA,F,N,Y
ID000125,2019,N/A,M,WHITE,F,N,Y
ID000126,2019,N/A,F,WHITE,F,N,Y
ID000127,2019,N/A,F,WHITE,F,N,Y
ID000128,2019,N/A,F,WHITE,F,N,Y
ID000129,2019,N/A,F,WHITE,F,N,Y
ID000130,2019,N/A,M,WHITE,F,N,Y
ID000131,2019,UD,F,WHITE,P,N,Y
ID000132,2019,FTF,F,WHITE,P,N,Y
ID000133,2019,N/A,F,WHITE,F,N,Y
ID000134,2019,N/A,F,WHITE,F,N,Y
ID000135,2019,N/A,F,WHITE,F,N,Y
ID000136,2019,N/A,F,WHITE,P,N,Y
ID000137,2019,N/A,F,WHITE,F,N,Y
ID000138,2019,N/A,M,NSPEC,P,N,Y
ID000139,2019,N/A,M,WHITE,F,N,Y
ID000140,2019,N/A,F,WHITE,F,N,Y
ID000141,2019,N/A,F,WHITE,F,N,Y
ID000142,2019,LD,M,WHITE,F,N,Y
ID000143,2019,N/A,M,WHITE,F,N,Y
ID000144,2019,N/A,M,WHITE,F,N,Y
ID000145,2019,N/A,F,HISPA,F,N,Y
ID000146,2019,N/A,F,HISPA,F,N,Y
ID000147,2019,N/A,M,HISPA,F,N,Y
ID000148,2019,N/A,F,HISPA,F,N,Y
ID000149,2019,N/A,M,HISPA,F,N,Y
ID000150,2019,N/A,F,WHITE,F,N,Y
ID000151,2019,N/A,F,HISPA,F,N,Y
ID000152,2019,N/A,M,BLACK,F,N,Y
ID000153,2019,FTF,M,WHITE,F,N,Y
ID000154,2019,N/A,F,TWOMORE,F,N,Y
ID000155,2019,N/A,F,WHITE,F,N,Y
ID000156,2019,N/A,M,WHITE,F,N,Y
ID000157,2019,FTF,F,WHITE,F,N,Y
ID000158,2019,N/A,F,WHITE,F,N,Y
ID000159,2019,N/A,F,WHITE,F,N,Y
ID000160,2019,N/A,M,WHITE,F,N,Y
ID000161,2019,N/A,F,WHITE,F,N,Y
ID000162,2019,N/A,M,WHITE,F,N,Y
ID000163,2019,N/A,M,AMIND,F,N,Y
ID000164,2019,UD,M,WHITE,F,N,Y
ID000165,2019,FTF,F,WHITE,F,N,Y
ID000166,2019,N/A,F,WHITE,F,N,Y
ID000167,2019,N/A,F,HISPA,F,N,Y
ID000168,2019,N/A,F,ASIAN,F,N,Y
ID000169,2019,N/A,M,ASIAN,F,N,Y
ID000170,2019,UD,M,HISPA,P,N,Y
ID000171,2019,N/A,F,ASIAN,F,N,Y
ID000172,2019,UD,F,WHITE,P,N,Y
ID000173,2019,N/A,M,WHITE,F,N,Y
ID000174,2019,N/A,F,WHITE,F,N,Y
ID000175,2019,FTF,M,WHITE,F,N,Y
ID000176,2019,N/A,M,WHITE,F,N,Y
ID000177,2019,FTF,F,ASIAN,F,N,Y
ID000178,2019,N/A,M,TWOMORE,P,N,Y
ID000179,2019,FTF,F,WHITE,F,N,Y
ID000180,2019,N/A,F,WHITE,F,N,Y
ID000181,2019,FTF,M,ASIAN,F,N,Y
ID000182,2019,N/A,F,WHITE,P,N,Y
ID000183,2019,N/A,F,WHITE,P,N,Y
ID000184,2019,N/A,F,WHITE,F,N,Y
ID000185,2019,N/A,F,WHITE,F,N,Y
ID000186,2019,N/A,F,HISPA,F,N,Y
ID000187,2019,N/A,F,WHITE,F,N,Y
ID000188,2019,FTF,M,HISPA,F,N,Y
ID000189,2019,N/A,F,WHITE,F,N,Y
ID000190,2019,FTF,M,TWOMORE,F,N,Y
